0 404,728
1 500,728
2 596,728
3 116,680
4 244,680
5 756,680
6 884,680
7 404,648
8 452,648
9 548,648
10 596,648
11 116,584
12 244,584
13 324,584
14 676,584
15 756,584
16 884,584
17 116,504
18 244,504
19 324,504
20 452,504
21 548,504
22 676,504
23 756,504
24 884,504
25 116,360
26 244,360
27 324,360
28 388,360
29 612,360
30 676,360
31 756,360
32 884,360
33 388,296
34 500,296
35 612,296
36 244,264
37 324,264
38 676,264
39 756,264
40 116,184
41 324,184
42 388,184
43 500,184 Player
44 612,184
45 676,184
46 884,184
47 388,72
48 500,72
49 612,72
-
0,1
1,2
0,7
2,10
7,8
8,9
9,10
8,20 
9,21
20,21
20,19
19,18
18,17
19,13
18,12
17,11
13,12
12,11
12,4
11,3
3,4
21,22
22,23
23,24
22,14
23,15
24,16
14,15
15,16
15,5
16,6
5,6
18,26
19,27
22,30
23,31
25,26
26,27
27,28
29,30
30,31
31,32
25,40
26,36
27,37
28,33
29,35
30,38
31,39
32,46
33,34
34,35
36,37
38,39
33,42
34,43
35,44
37,41
38,45
40,41
41,42
42,43
43,44
44,45
45,46
42,47
43,48
44,49
47,48
48,49
-
